player_name,game_date,events,stand,batter,pitcher,hc_x,hc_y,launch_speed,launch_angle,hit_distance_sc,estimated_ba_using_speedangle,estimated_woba_using_speedangle
"Bichette, Bo",2023-09-11,field_out,R,666182,641540,141.19,56.56,102,36,355,0.46,0.8868461538461541
"Bichette, Bo",2023-09-11,field_out,R,666182,608717,124.77,183.62,55.8,40,166,0.203,0.182
"Bichette, Bo",2023-09-11,field_out,R,666182,641540,120.72,148.41,82.1,-30,2,0.043,0.044
"Bichette, Bo",2023-09-10,force_out,R,666182,666142,109.13,158.43,85.7,-18,10,0.068,0.064
"Bichette, Bo",2023-09-08,double,R,666182,679525,192.03,129.3,97.2,-1,48,0.359,0.323
"Bichette, Bo",2023-09-08,field_out,R,666182,656353,150.89,171.04,67.8,-30,2,0.045,0.048
"Bichette, Bo",2023-09-08,field_out,R,666182,679525,175.53,64.08,99.5,33,355,0.365,0.7088095238095238
"Bichette, Bo",2023-09-08,single,R,666182,672578,91.45,129.81,107.7,3,86,0.618,0.592
"Bichette, Bo",2023-09-08,field_out,R,666182,676092,145.81,167.47,85.3,-38,4,0.043,0.042
"Bichette, Bo",2023-08-27,field_out,R,666182,592789,139.45,146.91,96.2,-8,15,0.241,0.222
"Bichette, Bo",2023-08-27,field_out,R,666182,592789,103.06,156,86.4,6,88,0.418,0.394
"Bichette, Bo",2023-08-27,field_out,R,666182,592789,131.47,62.2,98.2,37,339,0.214,0.409625
"Bichette, Bo",2023-08-26,field_out,R,666182,671106,148.68,135.74,87.7,10,173,0.611,0.553
"Bichette, Bo",2023-08-26,field_out,R,666182,669212,113.57,121.4,87,58,200,0.008,0.007
"Bichette, Bo",2023-08-26,single,R,666182,671106,105.78,73.36,107.2,13,264,0.839,0.875
"Bichette, Bo",2023-08-26,double,R,666182,663752,42.45,96.31,102.9,13,243,0.903,0.918
"Bichette, Bo",2023-08-25,field_out,R,666182,676440,144.67,176.62,86.9,74,79,0.003,0.003
"Bichette, Bo",2023-08-25,field_out,R,666182,676440,92.49,94.37,77.5,34,273,0.129,0.133
"Bichette, Bo",2023-08-24,field_out,R,666182,502043,96.87,166.33,99.9,-1,42,0.406,0.365
"Bichette, Bo",2023-08-24,field_out,R,666182,502043,110.57,153.64,101.5,-2,35,0.476,0.435
"Bichette, Bo",2023-08-24,single,R,666182,502043,114.8,190.71,63.8,-52,2,0.277,0.251
"Bichette, Bo",2023-08-24,field_out,R,666182,502043,184.36,129.02,76.8,45,227,0.084,0.081
"Bichette, Bo",2023-08-23,field_out,R,666182,665152,92.11,145.08,93.5,7,107,0.511,0.459
"Bichette, Bo",2023-08-23,single,R,666182,665152,136.46,115.06,76.7,-5,21,0.08,0.072
"Bichette, Bo",2023-08-22,field_out,R,666182,680570,182.11,126.6,88,53,228,0.011,0.009
"Bichette, Bo",2023-08-22,field_out,R,666182,680570,144.38,167,55.5,-55,1,0.275,0.249
"Bichette, Bo",2023-08-22,field_out,R,666182,657097,169.76,94.1,83.3,35,282,0.021,0.023
"Bichette, Bo",2023-08-22,field_out,R,666182,642585,107.51,167.89,76.6,-3,17,0.096,0.086
"Bichette, Bo",2023-08-22,single,R,666182,680570,115.39,170.05,53.8,-56,2,0.275,0.248
"Bichette, Bo",2023-08-20,home_run,R,666182,668881,217.03,90.29,99.8,27,350,0.505,0.9356111111111112
"Bichette, Bo",2023-08-20,field_error,R,666182,571882,123.31,193.97,94.7,-2,25,0.345,0.312
